code_res,code_tx,n,dist_km
1,9,7.0,486.56170000000003
1,14,3.0,218.8117
1,22,1.0,285.8969
2,9,19.0,3205.3912
2,14,14.0,2672.7121
2,19,3.0,2817.193
2,24,5.0,2837.0544
2,25,2.0,2010.3054
2,26,3.0,1289.6145
2,31,1.0,4576.7312
3,9,3.0,3868.1367999999998
3,11,1.0,3622.8709
3,14,1.0,3335.4577000000004
3,24,1.0,3513.3732
3,26,1.0,1952.3601999999998
4,9,3.0,1104.4421
4,19,1.0,1734.0965
4,26,1.0,3029.5131
5,9,2.0,1065.2125
5,14,2.0,940.1348
5,19,48.0,268.8726
5,26,2.0,1719.3528999999999
6,9,3.0,665.0973
6,14,14.0,206.11360000000002
6,24,1.0,568.4114000000001
7,9,15.0,873.9490999999999
8,9,10.0,1431.4226
8,14,4.0,1163.6726
8,19,10.0,822.9095
8,25,1.0,736.7383000000001
9,11,1.0,277.2288
9,14,22.0,535.7225
9,15,14.0,90.1343
9,19,4.0,910.5368000000001
9,22,1.0,207.8244
9,24,11.0,401.9156
9,25,4.0,1217.2989
9,26,1.0,1927.3675
10,9,6.0,889.0769
10,14,8.0,621.3269
10,19,4.0,608.0151
10,24,4.0,475.9448
10,25,2.0,456.36740000000003
10,26,1.0,1166.436
11,9,29.0,278.1341
11,14,14.0,288.0263
11,15,1.0,257.2999
11,19,1.0,719.0845
11,22,1.0,77.4692
11,24,4.0,210.4632
12,9,23.0,279.9119
12,14,1.0,759.7660999999999
12,24,1.0,685.6577
12,25,1.0,1441.3426000000002
13,8,1.0,1443.5245
13,9,15.0,92.1688
13,14,1.0,556.9218000000001
13,19,1.0,867.8562
13,24,1.0,418.64820000000003
14,9,13.0,535.0904
14,11,1.0,289.8245
14,19,1.0,798.3826
14,22,2.0,349.5115
14,24,12.0,365.6821
14,25,14.0,683.3033
14,26,3.0,1393.3718000000001
15,8,1.0,1408.1881
15,9,216.0,85.6674
15,14,12.0,465.0186
15,17,1.0,147.4383
15,19,3.0,892.2579000000001
15,24,1.0,383.6366
15,25,2.0,1146.595
15,26,1.0,1856.6636
16,9,20.0,433.3288
16,11,1.0,277.0325
16,14,12.0,223.4289
16,22,1.0,322.20120000000003
16,24,1.0,465.6615
16,25,1.0,905.0054
17,9,27.0,127.1244
17,22,1.0,338.77909999999997
17,24,2.0,532.8703
17,25,1.0,1273.882
18,9,2.0,769.5494
18,14,10.0,236.8703
19,15,1.0,894.1515
19,26,1.0,1763.1607
20,9,17.0,459.2263
20,14,1.0,992.6523000000001
20,19,1.0,1238.5768999999998
21,8,1.0,1585.5371
21,9,36.0,165.5086
21,14,6.0,698.9345
21,19,1.0,967.4651
22,8,1.0,1226.0636000000002
22,9,22.0,208.1225
22,14,3.0,347.35209999999995
22,24,2.0,206.4414
22,25,2.0,1028.9286
23,9,11.0,1397.3266999999998
23,22,1.0,1598.3878
23,31,3.0,302.15409999999997
24,9,6.0,402.96090000000004
24,14,1.0,365.4372
24,19,5.0,524.3814
24,22,1.0,206.01489999999998
24,25,1.0,930.8036
24,31,2.0,1767.7392
25,2,1.0,1920.0745
25,9,6.0,1232.0108
25,14,12.0,699.3317
25,19,1.0,1073.3625
25,24,4.0,948.5444
26,2,1.0,1214.6792
26,9,8.0,1915.7766000000001
26,14,5.0,1383.0976
26,15,1.0,1845.1795
26,25,1.0,720.6909
27,9,6.0,844.5061999999999
27,14,3.0,1377.9321
27,19,1.0,1474.1606000000002
27,24,2.0,1239.6583999999998
27,25,2.0,2059.5085
28,9,5.0,737.2574000000001
28,19,39.0,262.6545
29,8,1.0,1530.5872
29,9,7.0,124.6189
30,9,35.0,383.0559
30,14,5.0,898.8452
30,19,5.0,927.1378000000001
30,24,3.0,760.5715
31,9,8.0,1388.39
31,14,6.0,1921.8158999999998
31,19,2.0,2018.0444
31,25,1.0,2603.3923999999997
32,9,9.0,600.2387
32,11,1.0,343.4181
32,14,4.0,332.4887
32,19,8.0,472.4903
32,24,2.0,186.7705
